Code,Description
4961,Bonless Beef Bites
7492,Stir Fry Beef
0088,Stew Meat sm 
0800,Stew Meat fp
1585,Denver Steak sm
564,Denver Steak VP
1606,T-Bone FP
1597,T-Bone sm
2662,Bone in Flanken Ribs
2661,Bone In Beef Short Ribs
7488,Shoulder Steaks
1047,Thin Blade Steaks
7490,Center Cut Chuck Steaks
930,Thin cut Bottom Round Steak
1583,Country Style Beef Ribs
1054,Thin Cut Eye Round Steak
7491,Top Round Steak
1577,Stew Beef
1578,Stew Beef FP
920, Carne Picada
924,Cube Steak sm
925,Cube Steak Med
926,Cube Steak VP
1582,Chuckeye
1658,Sirloin Kabobs
1657,Sirloin Strip Steak
1656,Sirloin Filets
2033,Sirloin Filets VP
1653,Sirloin Steak
1654,Sirloin Steak VP
1581,Chuck Steak VP
605,Thin Cut Top Round Steak
