Code,Description
3311,Center Cut Boneless Chops
3312,Thick Cut Boneless Chops
3313,Thin Cut Boneless Chops
3364,Boneless Ribeye Chops
3305,Center Cut B/I Chops
3304,Thin Cut B/I Chops
3360,Thick Cut B/I Chops
3310,Pork Spare Rib Tips
5085,Pork Stew Carrnitas
3307,Blade Pork Chops
3308,B/I Sirloin Chops
2670,CR Loin Country Style Ribs
2692,CR Boston Butt Roast
2694,CR Butt Steaks
3348,CR Butt Country Style Ribs
3638,FL Ground Pork
Cyovac Pork
3085,1PC Boston Butt
3083,Fresh Pork Picnic
3350,Boneless Pork Loin
3323,Boneless Prok Tenterloin
4365,Sirloin Pork Roast
