Code,Description
3346,FL Hickory Smoked Ham Steak
5200,Fricks QTR Hickory Ham
5190,Fricks QTR Honey Ham
1470,Kentucky Legend Black Forrest Ham
1807,Kentucky Legend Cajun Turkey Breast
2602,Kentucky Legend Oven Roasted Turkey
1466,Kentucky Legend Smoked Ham
2672,Smithfield Apple Glazed Ham Steak
2673,Smithfield Brown Sugar Ham Steak
428,Smithfield Center Cut Ham Steak
6586,Smithfield Hickory Reserve Smoked Carver Ham
439,Smithfield Hickory Smoked Ham
431,Smithfield Honey Cured Ham
776,TOI Cherrywood Ham
3243,TOI Wildflower Ham
